acceleration_x,acceleration_y,acceleration_z,angular_rotation_x,angular_rotation_y,angular_rotation_z,label
-0.162702,-0.376191,0.906766,-0.089124,-0.276363,0.409649,standing still
-0.162997,-0.375407,0.908007,-0.158801,0.007179,-0.035539,standing still
-0.162547,-0.374817,0.908189,-0.236438,-0.064356,0.172685,standing still
-0.16197,-0.373245,0.909155,-0.47106,-0.296005,0.081302,standing still
-0.160577,-0.372691,0.91002,-0.412129,-0.090636,-0.078418,standing still
-0.161157,-0.374226,0.908952,-0.136411,-0.267735,0.210095,standing still
-0.16024,-0.373675,0.908707,-0.085526,-0.283759,0.195765,standing still
-0.158351,-0.371375,0.910257,-0.197039,-0.370996,0.351084,standing still
-0.155259,-0.373801,0.910021,-0.352884,-0.215261,0.436954,standing still
-0.158066,-0.37426,0.90862,-0.311188,-0.041163,-0.068892,standing still
-0.154333,-0.368718,0.912634,0.422301,-0.195966,-1.152914,standing still
-0.13695,-0.377264,0.9119,-0.744901,0.310732,2.034143,standing still
-0.137011,-0.380726,0.907522,-0.404447,-0.631618,1.032151,standing still
-0.149603,-0.366283,0.914932,0.308293,-0.057783,0.464491,standing still
-0.143897,-0.366583,0.914274,-0.311063,-0.444074,-0.353637,standing still
-0.143254,-0.366249,0.915864,-0.318468,-0.267594,-0.005606,standing still
-0.139396,-0.361612,0.918565,-0.340446,0.138953,0.479282,standing still
-0.139846,-0.363939,0.916593,-0.125011,0.027344,0.344876,standing still
-0.140055,-0.364345,0.91581,-0.397577,0.014563,0.405809,standing still
-0.141048,-0.36106,0.918085,-0.454616,-0.153694,0.246923,standing still
-0.14177,-0.363499,0.916407,0.005687,-0.459482,0.040661,standing still
-0.136828,-0.362397,0.91722,-0.010584,-0.207691,0.073939,standing still
-0.138066,-0.360903,0.918517,-0.399129,-0.152262,0.239776,standing still
-0.136614,-0.361699,0.918377,-0.367832,-0.204808,0.14107,standing still
-0.140408,-0.358803,0.919152,0.132746,-0.485018,0.321806,standing still
-0.145289,-0.361375,0.918154,0.432951,-0.196443,0.347616,standing still
-0.134262,-0.368183,0.916254,-0.343125,-0.0109,0.152588,standing still
-0.140785,-0.362539,0.917768,-0.086686,-0.23152,0.252342,standing still
-0.141665,-0.363023,0.916261,0.709501,-0.389492,0.318412,standing still
-0.138274,-0.363853,0.915672,0.221814,-0.229954,0.176877,standing still
-0.143603,-0.358037,0.920317,-0.717169,-0.525989,0.153453,standing still
-0.139798,-0.362525,0.917139,0.006544,-0.050665,0.163932,standing still
-0.144872,-0.359628,0.9181,-0.505463,-0.110553,0.098659,standing still
