acceleration_x,acceleration_y,acceleration_z,angular_rotation_x,angular_rotation_y,angular_rotation_z,label
0.288276,0.940334,-0.205802,10.951577,-2.566196,2.535985,walking forward
0.30328,0.823589,-0.451979,29.522472,0.363965,6.229041,walking forward
0.490614,0.03114,-1.066195,18.073992,-28.173891,39.64603,walking forward
0.507908,0.47755,-0.791851,-3.203532,7.102191,27.059023,walking forward
0.279148,-0.517205,-0.673085,79.410706,123.049431,-79.843063,walking forward
16.049999,nan,nan,0.359905,-0.02086,-0.107194,walking forward
0.978473,-0.135704,0.154703,0.397298,0.114756,0.108582,walking forward
