acceleration_x,acceleration_y,acceleration_z,angular_rotation_x,angular_rotation_y,angular_rotation_z,label
-0.950552,-0.115784,0.206821,0.023173,1.75786,-1.186668,standing still
-1.195648,-0.053185,0.170493,-7.980939,-11.988976,37.146187,standing still
-1.024365,-0.133878,0.223308,-2.283,-0.37074,2.178357,standing still
-0.940671,-0.050572,0.225348,-0.671018,-0.245073,1.940418,standing still
-0.988812,-0.164282,0.158451,0.429322,-0.135507,-0.057908,standing still
-0.90679,-0.179901,0.153277,0.494574,17.002035,-16.495636,standing still
-0.969445,-0.19503,0.122426,-0.228714,-0.002231,0.888042,standing still
-0.969725,-0.195551,0.116159,0.402075,0.735578,-0.728464,standing still
-0.974936,-0.199852,0.111416,0.363496,0.138615,-0.15554,standing still
-0.967615,-0.193162,0.113443,0.119089,-0.010839,-0.274414,standing still
-0.971039,-0.205513,0.107111,0.224991,0.218274,-0.262953,standing still
-0.974567,-0.204166,0.103883,0.357015,-0.180469,0.031688,standing still
-0.972593,-0.205085,0.103206,0.397849,0.116609,-0.051337,standing still
-0.968846,-0.203612,0.102916,0.268128,-0.164436,0.05987,standing still
-0.968644,-0.209351,0.099254,0.312959,0.052632,-0.207203,standing still
-0.970032,-0.211868,0.097121,0.418076,-0.271045,0.264106,standing still
-0.973787,-0.211596,0.095251,0.294581,-0.1819,0.16908,standing still
-0.971696,-0.20917,0.095001,0.409767,-0.168498,0.078049,standing still
-0.97036,-0.208928,0.096262,0.299412,0.105843,-0.300274,standing still
-0.971122,-0.207463,0.09652,0.30425,-0.356356,0.219056,standing still
-0.971441,-0.21134,0.09589,0.374114,0.049447,-0.156148,standing still
-0.974932,-0.211401,0.093661,0.361826,0.167195,-0.23399,standing still
-0.976027,-0.213225,0.093365,0.36989,-0.186542,0.122353,standing still
-0.970175,-0.209192,0.094521,0.385362,-0.119886,0.037385,standing still
-0.971364,-0.211094,0.094546,0.323908,-0.045536,-0.058902,standing still
-0.971726,-0.211236,0.094273,0.355378,-0.172127,0.037539,standing still
-0.969971,-0.21002,0.094495,0.344567,0.30215,-0.411731,standing still
-0.968613,-0.209367,0.093381,0.436173,-0.102922,0.068992,standing still
