acceleration_x,acceleration_y,acceleration_z,angular_rotation_x,angular_rotation_y,angular_rotation_z,label
-0.125292,0.085313,0.984583,-0.203873,-0.201734,0.18934,standing still
-0.124868,0.084759,0.984672,-0.160335,-0.206642,0.182408,standing still
-0.130236,0.086005,0.983815,-0.201698,-0.067211,0.219537,standing still
-0.126111,0.086923,0.984023,-0.165061,-0.275754,0.160519,standing still
-0.122313,0.0848,0.984891,-0.203982,-0.20538,0.181267,standing still
-0.125679,0.084789,0.984922,-0.264974,-0.39496,0.045097,standing still
-0.126161,0.086386,0.984451,-0.195154,-0.203858,0.176296,standing still
-0.125072,0.086208,0.984614,-0.165728,-0.255852,0.156281,standing still
-0.12552,0.085101,0.984968,-0.053175,-0.495796,0.013149,standing still
-0.124349,0.086298,0.984442,-0.204589,-0.228092,0.161798,standing still
-0.126699,0.087839,0.983905,-0.239468,-0.122214,0.242753,standing still
-0.12608,0.086977,0.984122,-0.190932,-0.234728,0.150816,standing still
-0.12558,0.086472,0.984567,-0.177111,-0.2718,0.140956,standing still
-0.124255,0.084591,0.984811,-0.219627,-0.225989,0.156411,standing still
-0.117095,0.086835,0.985455,-0.103628,-0.267306,0.21838,standing still
-0.120852,0.091033,0.981976,1.794117,-4.796528,-3.852907,standing still
-0.111848,0.090368,0.986463,0.027098,0.773495,0.705472,standing still
-0.12239,0.094761,0.984317,-0.152695,0.109814,0.436506,standing still
-0.127104,0.093882,0.984038,-0.127883,-0.339719,0.095341,standing still
-0.123736,0.09851,0.983418,-0.376301,0.397588,0.580396,standing still
-0.129126,0.093927,0.983373,-0.228099,-0.151151,0.211303,standing still
-0.128579,0.094116,0.983223,-0.133147,-0.303415,0.118388,standing still
-0.128149,0.095004,0.983268,-0.215402,-0.18657,0.193064,standing still
-0.129238,0.094375,0.983383,-0.181948,-0.242674,0.161749,standing still
-0.129151,0.094079,0.983394,-0.199948,-0.193586,0.190437,standing still
-0.127676,0.094614,0.983332,-0.194354,-0.21565,0.159122,standing still
-0.128286,0.094439,0.983246,-0.199503,-0.244075,0.158043,standing still
-0.128201,0.094718,0.982985,-0.167131,-0.291528,0.116754,standing still
-0.130018,0.093749,0.982707,-0.174173,-0.27029,0.113445,standing still
-0.129527,0.093184,0.983193,-0.134961,-0.178307,0.184965,standing still
-0.129041,0.094313,0.983242,-0.201167,-0.254514,0.138726,standing still
-0.129112,0.094559,0.982662,-0.162995,-0.342026,0.104179,standing still
-0.129352,0.094611,0.98291,-0.199249,-0.249239,0.152453,standing still
-0.129847,0.094223,0.982452,-0.276341,-0.338166,0.096342,standing still
-0.126731,0.098664,0.983502,-0.168434,-0.085935,0.231621,standing still
-0.12785,0.092548,0.983418,-0.420538,-0.42119,0.070723,standing still
-0.134501,0.089596,0.982456,-0.167022,-0.334455,0.075341,standing still
-0.134283,0.092982,0.982356,-0.229014,-0.01859,0.245219,standing still
-0.129461,0.093753,0.982986,-0.224786,-0.126699,0.188962,standing still
-0.127255,0.095687,0.983005,-0.191346,-0.178158,0.20763,standing still
-0.13023,0.09432,0.983431,-0.184246,-0.271827,0.136306,standing still
-0.130057,0.094354,0.982977,-0.188203,-0.220184,0.174175,standing still
-0.128785,0.094076,0.983352,-0.200462,-0.257479,0.140593,standing still
-0.132832,0.093596,0.982537,-0.215113,-0.291846,0.121467,standing still
-0.128256,0.095243,0.983359,-0.23332,-0.183189,0.154465,standing still
