acceleration_x,acceleration_y,acceleration_z,angular_rotation_x,angular_rotation_y,angular_rotation_z,label
0.249878,0.936169,-0.273304,-8.326988,-0.114261,-8.972849,walking forward
0.221176,0.907718,-0.317173,14.093906,5.046921,20.06695,walking forward
0.195959,0.932846,-0.202065,51.340504,-6.151711,21.863754,walking forward
-0.005368,1.019889,0.024282,20.568087,8.770041,1.90542,walking forward
0.068608,0.982139,-0.263741,34.954517,-10.593525,21.073841,walking forward
0.322337,0.833794,-0.492857,11.564632,0.582277,10.586327,walking forward
-0.047913,1.346834,0.603021,-8.180242,1.46368,-0.606092,walking forward
0.074535,0.998469,0.018306,-0.46157,0.208338,0.087529,walking forward
0.070818,0.998482,0.010074,-0.058874,-2.410474,-1.74492,walking forward
