acceleration_x,acceleration_y,acceleration_z,angular_rotation_x,angular_rotation_y,angular_rotation_z,label
0.424666,0.895229,-0.137961,5.253531,-0.364789,0.24908,walking forward
0.257446,0.960968,-0.067104,-3.114268,4.776285,11.697003,walking forward
0.320727,1.04574,-0.585045,-69.71492,-26.273016,-64.291496,walking forward
0.326866,0.947061,-0.051009,9.379391,-3.879562,-2.903574,walking forward
0.184762,1.018543,-0.10656,16.793085,10.04162,22.305065,walking forward
0.068501,1.046302,0.215785,5.279075,35.564888,-3.38677,walking forward
-0.020509,0.992146,0.152326,4.366502,-1.183518,-1.368943,walking forward
0.084953,0.979778,0.159921,-2.53795,3.495924,3.250383,walking forward
0.081259,0.988507,0.172415,-1.185516,0.340287,0.349487,walking forward
