acceleration_x,acceleration_y,acceleration_z,angular_rotation_x,angular_rotation_y,angular_rotation_z,label
0.132332,-0.001762,0.984215,0.987759,-0.340437,0.010539,standing still
0.127782,9.7e-05,0.979424,1.067636,0.013479,-0.483408,standing still
0.128859,0.008084,0.991593,0.111885,-0.208381,0.20166,standing still
0.12799,0.01179,0.98799,0.551143,0.101401,-0.265138,standing still
0.12044,0.014455,0.987657,0.979611,0.412028,0.1733,standing still
0.121266,0.019078,0.986643,0.2746,-0.005205,0.08086,standing still
0.118297,0.023557,0.989854,0.521621,0.018397,0.100481,standing still
0.117283,0.025366,0.988979,0.781133,0.266823,0.062537,standing still
0.117607,0.03001,0.991202,0.55583,-0.099519,-0.001945,standing still
0.114317,0.033233,0.990835,0.716041,-0.116236,-0.213827,standing still
0.116156,0.037043,0.991839,0.478608,0.008105,0.270353,standing still
0.118361,0.039478,0.99011,0.326638,-0.090484,0.009714,standing still
0.113266,0.04086,0.992316,0.353089,-0.145393,0.080342,standing still
0.111397,0.041754,0.988976,0.943076,-0.089675,-0.365566,standing still
0.110616,0.043985,0.989988,0.277271,0.056536,-0.222574,standing still
0.112286,0.046061,0.990566,0.413161,-0.181925,0.375884,standing still
0.107556,0.044962,0.987992,0.467148,-0.047182,-0.096703,standing still
0.110369,0.048573,0.988231,0.382377,0.13669,-0.250644,standing still
0.102904,0.05249,0.994571,0.264089,0.053173,0.326529,standing still
0.098976,0.051546,0.990857,0.535152,-0.015879,0.149881,standing still
0.105053,0.056113,0.991356,0.192923,-0.119037,-0.002359,standing still
0.103484,0.056673,0.988662,0.440453,0.088896,0.14029,standing still
0.100373,0.058913,0.990256,0.483688,-0.061515,0.083891,standing still
0.103402,0.061348,0.992246,0.254585,0.079299,0.509596,standing still
0.101127,0.063108,0.990202,0.463277,-0.067339,0.084931,standing still
0.098161,0.065344,0.991444,0.398203,0.195225,0.359292,standing still
0.103053,0.067813,0.991938,0.306583,0.117734,0.125382,standing still
0.101747,0.068567,0.990091,0.612625,-0.211037,0.25702,standing still
0.099792,0.070942,0.990872,0.234564,0.385499,-0.078647,standing still
0.099382,0.071454,0.991204,0.945113,0.031978,0.128782,standing still
0.091012,0.069083,0.984593,0.842525,0.416734,-0.004732,standing still
0.095812,0.073796,0.989082,0.367526,0.040828,-0.260628,standing still
0.095324,0.077764,0.98915,0.838204,-0.088154,-0.20213,standing still
0.096274,0.07694,0.990871,0.262364,-0.105202,-0.225357,standing still
0.098463,0.080491,0.989942,0.239428,-0.013739,-0.133817,standing still
0.09488,0.075562,0.988753,0.336144,-0.166677,0.095485,standing still
0.093731,0.076503,0.98954,0.276804,0.02747,-0.161341,standing still
0.096489,0.067135,0.989768,-0.16655,0.124493,0.642928,standing still
0.098188,0.06567,0.985809,0.542924,-0.040561,-0.17975,standing still
0.095075,0.070016,0.992687,-0.240303,-0.145931,-0.21331,standing still
0.099604,0.073378,0.99649,-0.37538,0.166588,0.215803,standing still
0.094315,0.066469,0.990067,0.261033,-0.029667,-0.642713,standing still
0.099402,0.061913,0.98972,0.276719,-0.072616,-0.082644,standing still
0.099139,0.061847,0.988746,1.051488,-0.070734,-0.219548,standing still
0.095095,0.06424,0.989661,0.289795,0.045771,-0.241478,standing still
0.095793,0.063475,0.990556,0.124703,0.157247,0.157804,standing still
0.096815,0.059378,0.988437,0.078346,-0.099142,0.433435,standing still
0.093943,0.058599,0.989948,0.062362,-0.25343,-0.017049,standing still
0.100024,0.068787,0.992009,0.593897,-0.194912,-0.024998,standing still
0.096089,0.074892,0.989372,0.360208,0.292649,-0.118075,standing still
0.097219,0.075343,0.989879,0.532226,-0.063778,-0.29903,standing still
0.100187,0.078532,0.992319,0.444381,-0.102345,0.131794,standing still
0.095156,0.084934,0.988293,1.824911,0.15698,-0.087113,standing still
0.09394,0.102708,0.986074,0.262984,0.169092,0.261243,standing still
0.097246,0.104465,0.989975,0.268159,-0.007462,0.145096,standing still
0.09469,0.101228,0.987137,0.51758,0.148331,-0.027979,standing still
0.094454,0.102902,0.990462,0.131779,-0.022858,-0.042143,standing still
0.099174,0.100797,0.99035,-0.122751,-0.18435,0.134746,standing still
0.095424,0.051466,0.980403,-3.262874,-0.476348,-0.101261,standing still
0.100051,0.0458,0.991864,0.545487,0.011502,-0.140077,standing still
