acceleration_x,acceleration_y,acceleration_z,angular_rotation_x,angular_rotation_y,angular_rotation_z,label
0.224408,-0.044919,0.97015,1.004745,-6.268311,0.402312,standing still
0.2294,-0.0443,0.96802,0.480894,-0.948921,0.023903,standing still
0.232297,-0.043047,0.9683,0.384464,-0.213911,-0.035658,standing still
0.233153,-0.043185,0.969381,0.402483,-0.493867,-0.043507,standing still
0.226216,-0.043863,0.970166,0.384922,-0.207673,-0.013895,standing still
0.221379,-0.044822,0.971389,0.352075,0.366187,-0.055875,standing still
0.215605,-0.043563,0.972961,0.386179,-0.224402,-0.014368,standing still
0.213451,-0.044611,0.973561,0.344058,0.195005,-0.044119,standing still
0.21029,-0.044063,0.973976,0.354779,0.186356,-0.061994,standing still
0.208347,-0.044843,0.973828,0.338403,0.345125,-0.046606,standing still
0.207467,-0.043716,0.974611,0.390596,-0.205276,-0.016232,standing still
0.205758,-0.044865,0.974678,0.387915,-0.58685,0.009472,standing still
0.209565,-0.044641,0.975127,0.371518,-0.307371,-0.001449,standing still
0.201914,-0.045193,0.975051,0.386131,-0.2025,-0.011194,standing still
0.202442,-0.044973,0.97563,0.340537,0.223968,-0.069271,standing still
0.20126,-0.044658,0.975663,0.378175,-0.29624,-0.017792,standing still
0.212484,-0.044174,0.975039,0.301169,0.790238,-0.095048,standing still
0.193119,-0.044916,0.977584,0.251262,1.378122,-0.143498,standing still
0.194605,-0.044617,0.977384,0.383509,-0.139973,-0.018024,standing still
0.191976,-0.045117,0.977364,0.387601,-0.199786,-0.000992,standing still
0.193966,-0.045213,0.977738,0.369307,-0.09663,-0.014624,standing still
0.192847,-0.044827,0.977917,0.372693,0.077453,-0.037535,standing still
0.192991,-0.045375,0.977575,0.372976,-0.015927,-0.025079,standing still
0.191345,-0.044776,0.977557,0.363103,-0.018305,-0.022896,standing still
0.192127,-0.044764,0.977825,0.37149,0.028024,-0.038563,standing still
0.190589,-0.045024,0.977706,0.375726,-0.205974,-0.015512,standing still
0.192943,-0.045515,0.97726,0.375041,-0.200718,-0.020505,standing still
